m,x,b,y
78,-45,-8,-3518
40,-40,-6,-1606
-70,-84,-44,5836
17,-1,10,-7
-6,-2,-83,-71
14,64,-37,859
-80,-76,-75,6005
-99,49,23,-4828
-67,-60,70,4090
-64,-71,40,4584
-1,94,-56,-150
-41,-47,-72,1855
-2,-9,56,74
-57,53,33,-2988
-35,33,-70,-1225
-89,47,-14,-4197
-11,-66,-36,690
50,1,-33,17
-47,45,-6,-2121
12,-42,79,-425
-29,-71,-100,1959
-65,-78,-83,4987
72,-3,-20,-236
-91,-54,-41,4873
96,-29,-49,-2833
6,-54,36,-288
85,55,-12,4663
-26,-14,66,430
42,39,32,1670
81,52,-85,4127
79,99,9,7830
-4,74,-43,-339
-85,3,-2,-257
12,98,-61,1115
-41,-3,16,139
28,-90,16,-2504
-62,75,40,-4610
100,-36,62,-3538
32,76,95,2527
-71,-17,60,1267
84,72,87,6135
80,22,-54,1706
-30,69,8,-2062
-93,56,-88,-5296
-93,-72,-53,6643
-55,42,-12,-2322
90,-48,-74,-4394
24,26,-94,530
62,6,20,392
55,-55,7,-3018
-55,-36,84,2064
-67,-50,-52,3298
91,-49,54,-4405
-90,45,89,-3961
73,84,62,6194
60,77,-61,4559
-52,81,91,-4121
10,-97,-79,-1049
-29,49,53,-1368
41,-40,86,-1554
97,-54,-32,-5270
14,-21,85,-209
78,-89,83,-6859
5,59,-7,288
58,29,-65,1617
-37,-94,-60,3418
-62,67,-41,-4195
53,75,-7,3968
-67,98,-30,-6596
74,5,9,379
-93,-41,-31,3782
17,38,1,647
-100,87,-84,-8784
20,-35,25,-675
62,-77,-98,-4872
65,0,-92,-92
-6,31,-52,-238
-7,-68,-10,466
60,59,-92,3448
42,-17,1,-713
19,-19,-33,-394
63,7,-26,415
-3,-47,-9,132
-85,-43,-74,3581
-93,-4,-20,352
48,-41,-34,-2002
-46,20,63,-857
-68,-15,-98,922
1,-30,-63,-93
87,-25,71,-2104
-40,-27,-48,1032
26,8,-37,171
41,77,40,3197
-20,-85,31,1731
46,72,92,3404
3,-74,-63,-285
-27,-2,27,81
-87,75,-57,-6582
-50,-65,-85,3165
-50,42,-42,-2142
-49,42,46,-2012
95,-31,-91,-3036
-48,-23,3,1107
11,-66,-2,-728
-38,32,-96,-1312
18,69,-39,1203
-89,-54,74,4880
67,-86,53,-5709
-88,-92,-50,8046
16,93,-15,1473
-99,55,-35,-5480
33,68,48,2292
55,-27,98,-1387
76,-25,-34,-1934
58,-39,-39,-2301
18,-93,-77,-1751
-65,-82,-57,5273
61,-78,80,-4678
-48,78,-88,-3832
-21,-66,-83,1303
-56,-99,53,5597
69,90,-37,6173
68,-23,-29,-1593
-58,-51,56,3014
41,52,-42,2090
-100,17,-85,-1785
22,99,85,2263
85,4,-86,254
5,-84,-13,-433
42,25,44,1094
39,-23,32,-865
-94,4,93,-283
-43,-24,90,1122
-2,47,-28,-122
53,-22,0,-1166
76,-48,-85,-3733
17,-6,38,-64
-53,-96,-22,5066
-80,77,88,-6072
-31,95,-74,-3019
-77,70,-85,-5475
-12,17,55,-149
-15,86,-23,-1313
-48,93,-37,-4501
-76,18,-71,-1439
22,65,-37,1393
84,84,71,7127
-60,-14,-91,749
81,55,-92,4363
-40,-32,93,1373
-37,-46,-58,1644
91,29,42,2681
42,35,2,1472
34,90,-35,3025
93,36,70,3418
-24,-2,-4,44
16,67,47,1119
81,-23,66,-1797
-29,-45,92,1397
-55,-15,36,861
50,56,-61,2739
28,-32,83,-813
-35,83,-16,-2921
-69,-98,-64,6698
2,69,93,231
22,-69,-92,-1610
-70,-88,52,6212
52,-19,36,-952
41,67,75,2822
-5,56,15,-265
82,38,72,3188
-100,-66,-55,6545
-9,64,-71,-647
79,92,76,7344
87,67,-34,5795
35,75,-68,2557
87,-30,32,-2578
-18,25,-35,-485
48,6,93,381
50,-49,-71,-2521
70,-96,18,-6702
70,6,11,431
82,-6,3,-489
75,-98,-20,-7370
98,-4,36,-356
-74,40,-57,-3017
39,-38,8,-1474
35,-3,47,-58
93,-77,-38,-7199
-31,-5,26,181
-58,34,-74,-2046
91,-52,34,-4698
-89,49,49,-4312
79,-75,35,-5890
28,48,-96,1248
-59,88,-14,-5206
-11,73,97,-706
87,100,46,8746
33,78,52,2626
-64,75,39,-4761
-72,-50,-93,3507
-31,-54,98,1772
-25,-30,71,821
66,99,-57,6477
-11,-82,-32,870
-96,70,74,-6646
97,90,-20,8710
-27,-12,-89,235
-20,19,-16,-396
25,-97,-59,-2484
8,-82,64,-592
-63,-77,-65,4786
-91,48,-48,-4416
-16,-43,92,780
-97,-77,40,7509
35,54,19,1909
43,-93,34,-3965
0,-26,-79,-79
90,70,-16,6284
83,51,29,4262
8,-91,-2,-730
-58,73,66,-4168
24,4,-76,20
22,20,52,492
62,-19,62,-1116
-45,-32,-17,1423
-64,33,66,-2046
85,42,74,3644
93,35,62,3317
87,65,61,5716
-77,-97,15,7484
-93,-74,32,6914
66,57,29,3791
-20,-22,78,518
-85,-17,-89,1356
-57,88,89,-4927
42,-56,-23,-2375
-25,-33,-80,745
58,-54,62,-3070
-98,-67,-19,6547
4,6,19,43
21,26,-82,464
78,-7,46,-500
-97,74,2,-7176
71,82,63,5885
-4,46,11,-173
-1,-36,-76,-40
85,51,-19,4316
-14,50,-65,-765
-13,93,86,-1123
-55,2,31,-79
-54,67,-80,-3698
48,-4,84,-108
-37,-12,45,489
-97,99,59,-9544
-93,-58,-45,5349
41,-82,-47,-3409
75,-33,-91,-2566
13,50,-24,626
-36,0,-67,-67
4,3,-41,-29
-70,-48,-47,3313
74,-41,4,-3030
-69,13,-24,-921
37,-13,-16,-497
-37,-49,47,1860
-54,79,-21,-4287
64,76,25,4889
54,45,22,2452
-91,-40,-44,3596
57,30,-18,1692
-88,53,30,-4634
-95,3,45,-240
8,-75,-37,-637
27,69,-71,1792
34,-86,-49,-2973
1,66,89,155
7,-35,99,-146
-2,-18,-26,10
0,-18,91,91
-58,32,-82,-1938
76,-27,50,-2002
-58,-4,-93,139
56,-2,-78,-190
-33,-82,24,2730
49,-58,52,-2790
24,-11,16,-248
-24,26,-67,-691
27,-70,-41,-1931
-3,-78,-84,150
39,47,80,1913
24,34,-57,759
93,67,-89,6142
82,-12,-23,-1007
65,-44,96,-2764
-68,-39,58,2710
15,-27,-47,-452
-39,5,-41,-236
85,95,31,8106
48,78,100,3844
65,-35,39,-2236
57,-35,-37,-2032
-59,61,-22,-3621
-96,72,-88,-7000
-63,35,8,-2197
26,31,61,867
3,66,-39,159
81,51,90,4221
94,7,41,699
-54,-96,-14,5170
-100,92,10,-9190
41,49,-60,1949
61,40,7,2447
-41,-23,20,963
-82,70,16,-5724
56,-29,-63,-1687
33,-19,22,-605
32,57,50,1874
-29,-95,64,2819
-63,-21,54,1377
-62,-32,49,2033
93,93,36,8685
-77,-19,11,1474
33,-10,63,-267
66,-5,73,-257
-13,-38,85,579
4,65,100,360
-13,91,-64,-1247
5,9,97,142
99,3,18,315
-43,-13,-24,535
3,24,47,119
75,-44,-41,-3341
96,51,27,4923
25,-68,38,-1662
23,-95,28,-2157
-98,-88,-65,8559
-2,-94,51,239
-56,61,-37,-3453
-44,-12,23,551
9,-49,26,-415
-25,-61,24,1549
68,-70,-65,-4825
31,3,-66,27
-62,-71,-34,4368
1,-74,7,-67
67,-94,-25,-6323
-87,66,-91,-5833
96,-71,-55,-6871
26,50,14,1314
85,-18,48,-1482
36,84,4,3028
-89,82,84,-7214
43,-30,3,-1287
-74,-31,-38,2256
58,48,-89,2695
-26,2,-60,-112
86,8,-4,684
-89,72,-91,-6499
-14,-49,26,712
24,-10,-79,-319
-3,-39,-27,90
-66,35,17,-2293
-68,11,-54,-802
23,-2,38,-8
74,36,-36,2628
100,-61,-19,-6119
-86,93,83,-7915
30,33,0,990
33,19,-1,626
92,-29,99,-2569
-27,5,53,-82
49,-85,-64,-4229
8,-94,-56,-808
-52,-27,-92,1312
-15,79,10,-1175
-55,82,-38,-4548
-65,-59,-76,3759
-82,-1,86,168
-87,-93,-81,8010
76,-74,16,-5608
6,76,-6,450
33,73,38,2447
66,-40,-8,-2648
-95,-70,58,6708
-34,-58,-77,1895
51,1,56,107
-27,23,88,-533
57,-43,-90,-2541
23,13,-96,203
-35,-11,86,471
97,-72,-48,-7032
-25,-62,28,1578
2,70,73,213
-100,-22,25,2225
-5,63,59,-256
7,-50,-23,-373
73,46,60,3418
80,40,-78,3122
-54,-85,-1,4589
63,19,45,1242
-92,86,-93,-8005
-25,6,87,-63
-42,6,5,-247
93,8,-90,654
44,-82,-51,-3659
-50,-9,-14,436
8,-26,-22,-230
-16,60,-14,-974
46,63,55,2953
-18,37,33,-633
24,-83,51,-1941
-64,-21,-68,1276
95,24,-14,2266
-43,-96,-53,4075
-57,29,-59,-1712
30,20,22,622
30,7,85,295
32,85,-93,2627
-70,-21,96,1566
60,-13,81,-699
-14,-77,-46,1032
-12,74,-62,-950
-62,-81,-1,5021
-45,-59,-10,2645
-22,-70,-75,1465
-29,97,-9,-2822
-57,-77,-33,4356
-14,-27,83,461
26,-19,-62,-556
-36,-44,6,1590
-1,-40,92,132
69,15,-58,977
54,18,99,1071
-45,-26,-46,1124
-32,-65,97,2177
-37,39,-95,-1538
68,-79,-74,-5446
-52,-39,-94,1934
29,-88,74,-2478
95,-48,19,-4541
-34,-92,82,3210
-90,62,42,-5538
97,-22,91,-2043
-56,80,33,-4447
78,94,86,7418
-15,-27,5,410
-54,37,-37,-2035
-87,-72,-25,6239
-94,37,-58,-3536
76,-57,-75,-4407
-87,-76,-84,6528
-95,15,-41,-1466
52,-20,49,-991
-11,64,-52,-756
91,98,50,8968
65,-91,-23,-5938
-76,19,72,-1372
63,-9,24,-543
24,71,16,1720
66,-42,-58,-2830
-67,21,-9,-1416
-34,-58,-64,1908
-5,73,65,-300
-99,-90,51,8961
91,95,72,8717
-35,11,27,-358
-34,-80,-55,2665
74,-38,-3,-2815
-16,-14,15,239
81,-59,16,-4763
-19,-80,57,1577
-29,-33,76,1033
8,-58,93,-371
-71,5,3,-352
-99,-3,-68,229
89,-40,56,-3504
22,-28,89,-527
-97,-26,-60,2462
35,55,27,1952
-79,-11,-56,813
20,54,-31,1049
-98,-67,43,6609
-48,21,-60,-1068
72,-51,-54,-3726
60,-23,-2,-1382
34,-9,83,-223
-93,35,-63,-3318
13,49,67,704
-59,-74,91,4457
82,-86,68,-6984
-37,-25,-86,839
90,-61,12,-5478
-25,-47,-73,1102
-37,88,78,-3178
67,-50,-14,-3364
-98,73,83,-7071
7,72,34,538
-27,6,57,-105
-36,92,46,-3266
89,-10,-92,-982
92,46,24,4256
74,-59,-21,-4387
-68,-49,-21,3311
-14,61,-98,-952
49,9,0,441
72,-67,-84,-4908
-90,47,-67,-4297
-42,48,-82,-2098
-10,35,-27,-377
-29,19,-52,-603
20,-41,16,-804
84,-38,-63,-3255
11,14,-44,110
72,-66,-32,-4784
-62,-81,-19,5003
-53,5,-11,-276
-47,-99,60,4713
97,-5,97,-388
-59,-60,55,3595
-27,56,11,-1501
39,-29,-1,-1132
-60,-41,-36,2424
19,20,-44,336
54,54,64,2980
21,-90,79,-1811
52,-95,60,-4880
93,-66,82,-6056
86,33,38,2876
59,-29,-64,-1775
-5,98,-53,-543
6,39,47,281
72,1,62,134
-54,-73,99,4041
37,-42,-83,-1637
-74,9,-6,-672
-32,-58,-24,1832
-3,-25,66,141
-62,92,-35,-5739
-65,-4,-71,189
-56,63,34,-3494
-76,-11,30,866
-28,6,39,-129
34,-94,58,-3138
39,-44,63,-1653
76,-39,-35,-2999
38,-46,4,-1744
59,12,-22,686
9,-98,33,-849
47,80,56,3816
-3,-12,99,135
21,-93,23,-1930
32,-33,-38,-1094
87,52,64,4588
99,-39,-10,-3871
-89,27,-63,-2466
99,-10,-31,-1021
-55,-3,27,192
79,-14,66,-1040
88,-37,-19,-3275
49,62,-51,2987
64,23,-17,1455
21,-75,73,-1502
-94,12,62,-1066
9,39,27,378
-57,90,55,-5075
84,-43,-53,-3665
-55,-59,54,3299
-86,-42,-41,3571
-31,52,97,-1515
34,-55,92,-1778
5,-92,-18,-478
15,-96,88,-1352
100,65,39,6539
91,-4,89,-275
27,-52,-99,-1503
-23,41,-17,-960
63,-3,-57,-246
-75,-42,88,3238
14,-64,-81,-977
82,-25,-57,-2107
51,9,-73,386
-74,-40,29,2989
-61,-41,-16,2485
13,100,-41,1259
27,97,82,2701
-75,80,-42,-6042
-97,42,-90,-4164
-75,97,-27,-7302
-5,70,-92,-442
87,77,83,6782
82,-85,15,-6955
-76,-8,74,682
-54,59,2,-3184
89,1,25,114
-20,-53,0,1060
-21,64,-98,-1442
44,97,29,4297
68,-23,44,-1520
-24,-1,98,122
-100,-98,41,9841
-74,-44,-21,3235
26,-61,57,-1529
1,79,91,170
64,88,9,5641
-97,45,-95,-4460
-78,-56,-16,4352
51,-68,-20,-3488
88,-98,-64,-8688
4,50,-94,106
94,90,-26,8434
-65,7,60,-395
-69,31,44,-2095
-53,3,80,-79
83,17,25,1436
37,55,-27,2008
79,-94,26,-7400
-28,-66,-99,1749
-5,-33,24,189
-17,66,17,-1105
13,-87,-19,-1150
-63,21,79,-1244
89,80,29,7149
91,-33,98,-2905
42,-10,14,-406
33,-35,85,-1070
-38,-100,-6,3794
-95,-10,-54,896
-55,-19,-60,985
-8,-69,76,628
95,-96,64,-9056
65,-71,-15,-4630
-94,78,-99,-7431
-88,36,-83,-3251
-12,-2,-47,-23
-36,26,89,-847
-6,-73,-51,387
68,-33,51,-2193
-41,-69,-13,2816
8,-60,-15,-495
50,-65,-47,-3297
-91,69,-16,-6295
-95,-57,53,5468
-45,-85,-24,3801
-67,43,69,-2812
61,-73,-20,-4473
-53,-8,21,445
37,-98,9,-3617
-54,16,-3,-867
36,-55,46,-1934
-64,-79,-91,4965
31,-3,55,-38
89,-79,78,-6953
-3,-56,-20,148
88,42,7,3703
74,45,94,3424
90,-81,-82,-7372
15,-6,-71,-161
31,-82,1,-2541
88,30,-65,2575
63,-68,67,-4217
-44,-24,11,1067
-96,-42,80,4112
-47,3,-71,-212
-7,-34,-26,212
79,-7,91,-462
64,100,-42,6358
-19,-42,-39,759
-87,62,80,-5314
55,44,36,2456
-76,85,34,-6426
9,75,-47,628
58,13,75,829
-16,36,70,-506
-65,-92,-65,5915
39,-19,61,-680
15,55,52,877
-67,54,-66,-3684
-33,65,2,-2143
-10,84,-23,-863
74,-79,91,-5755
-63,76,66,-4722
15,-8,-14,-134
65,-50,-94,-3344
-58,-38,-32,2172
10,98,86,1066
8,92,-84,652
79,-83,94,-6463
3,62,-54,132
-24,88,-67,-2179
-45,2,-74,-164
-7,30,-98,-308
-100,-81,60,8160
51,-28,-52,-1480
28,7,-2,194
-40,95,38,-3762
-91,-71,-72,6389
-95,56,-81,-5401
-46,-8,20,388
-10,-17,-88,82
-82,-92,51,7595
-33,78,29,-2545
-12,-71,40,892
-20,66,-42,-1362
48,-70,-95,-3455
32,4,84,212
78,-97,-36,-7602
-81,-41,-90,3231
-87,62,59,-5335
42,9,-72,306
-93,-91,50,8513
-71,-80,-28,5652
78,52,-2,4054
-15,-70,31,1081
84,-62,79,-5129
-33,43,96,-1323
4,66,59,323
-82,95,74,-7716
29,-15,22,-413
44,-11,-28,-512
36,1,97,133
-41,-86,64,3590
-17,46,-46,-828
88,67,-36,5860
-44,-66,39,2943
58,33,27,1941
-94,37,-37,-3515
33,-58,30,-1884
50,-57,-69,-2919
-2,-81,-19,143
-20,71,4,-1416
26,-62,61,-1551
53,-39,-34,-2101
-80,61,-31,-4911
25,-82,-42,-2092
2,94,-90,98
60,-31,42,-1818
-32,8,2,-254
-48,-97,21,4677
2,-81,-89,-251
91,0,77,77
30,-68,-77,-2117
-64,11,50,-654
-21,47,-42,-1029
48,-36,-77,-1805
96,4,42,426
91,-73,92,-6551
56,-60,86,-3274
64,-100,-43,-6443
90,47,-92,4138
-68,45,-55,-3115
56,70,5,3925
91,-30,51,-2679
59,-72,-63,-4311
-20,93,-19,-1879
-89,31,83,-2676
5,-39,3,-192
-2,76,17,-135
49,-25,-8,-1233
-46,11,-16,-522
92,17,-29,1535
-15,-99,-31,1454
35,-12,-67,-487
-16,70,-36,-1156
-73,17,-65,-1306
88,-75,74,-6526
-92,-22,-20,2004
-85,11,76,-859
-2,55,93,-17
-54,16,50,-814
75,32,-25,2375
29,-88,-54,-2606
70,61,-12,4258
95,18,80,1790
71,-89,97,-6222
72,100,-20,7180
26,-16,5,-411
59,-87,42,-5091
-37,-99,18,3681
14,-83,20,-1142
63,21,-22,1301
-95,-24,-39,2241
-6,5,86,56
87,-72,-59,-6323
20,67,-8,1332
-73,-87,48,6399
-5,-47,9,244
-18,51,5,-913
-4,-46,-82,102
75,60,25,4525
-13,9,64,-53
-44,44,-68,-2004
43,44,-32,1860
-33,56,14,-1834
-45,31,36,-1359
-10,-99,14,1004
-95,-38,75,3685
-72,-30,99,2259
43,68,58,2982
-69,-45,-85,3020
32,-20,-82,-722
92,20,-5,1835
72,-96,48,-6864
-49,-88,-91,4221
64,-47,-96,-3104
99,-4,60,-336
9,-45,-13,-418
78,-82,95,-6301
-3,-72,59,275
-54,-16,39,903
52,72,77,3821
-78,-54,5,4217
69,-52,-39,-3627
-4,61,-29,-273
-18,-73,31,1345
77,-10,-50,-820
-33,54,-94,-1876
22,-17,-97,-471
17,87,-19,1460
22,-57,79,-1175
21,87,42,1869
55,-39,-68,-2213
78,50,-92,3808
81,-77,74,-6163
65,-49,-64,-3249
36,-47,-37,-1729
-60,-52,76,3196
63,-12,22,-734
-65,24,-39,-1599
-34,-49,99,1765
26,-63,32,-1606
70,-72,41,-4999
-43,-88,-63,3721
84,91,-37,7607
-23,-34,-29,753
39,-7,66,-207
-12,-5,34,94
72,65,43,4723
83,-43,-77,-3646
-52,8,-92,-508
-84,24,-52,-2068
19,-56,-11,-1075
93,-63,32,-5827
58,-37,82,-2064
-57,-79,35,4538
-61,-11,80,751
-84,74,-43,-6259
88,95,21,8381
14,-70,100,-880
-91,-88,-63,7945
-44,-27,-55,1133
-4,-28,80,192
82,-38,8,-3108
96,-63,18,-6030
45,-33,13,-1472
-74,-63,-14,4648
28,-63,-3,-1767
68,46,40,3168
-20,-54,30,1110
69,90,-93,6117
-80,26,-7,-2087
-17,-9,88,241
68,3,1,205
78,82,44,6440
83,-83,32,-6857
67,55,17,3702
-93,70,74,-6436
-66,49,3,-3231
-43,-73,55,3194
-58,22,-66,-1342
6,59,-41,313
44,-71,-9,-3133
-84,-82,31,6919
63,-41,94,-2489
-27,42,-53,-1187
-26,-60,-50,1510
-23,-56,-82,1206
-54,85,-30,-4620
-85,3,-78,-333
4,97,-65,323
6,69,-21,393
-53,6,-39,-357
-15,93,-36,-1431
70,-60,-84,-4284
-5,-99,-14,481
79,-28,-43,-2255
-3,28,-75,-159
-23,29,-4,-671
27,-20,100,-440
84,-93,22,-7790
22,56,-32,1200
-19,20,30,-350
-29,77,70,-2163
-91,-12,16,1108
-47,83,-32,-3933
-23,-31,-95,618
-25,-3,-32,43
-34,2,-56,-124
-44,97,-29,-4297
-38,3,16,-98
-20,66,23,-1297
39,68,-76,2576
-64,-70,61,4541
4,24,-41,55
-37,-66,-98,2344
17,93,-20,1561
-14,32,-78,-526
-13,33,23,-406
73,10,-99,631
-15,74,55,-1055
-11,25,-4,-279
-92,48,-80,-4496
-30,-41,31,1261
36,46,4,1660
93,53,25,4954
-60,-23,13,1393
51,-39,71,-1918
64,-63,55,-3977
49,-51,49,-2450
-59,-67,-60,3893
-83,89,67,-7320
-53,-76,-94,3934
48,69,11,3323
-63,-75,-56,4669
89,-85,-46,-7611
-12,81,-59,-1031
13,-48,-39,-663
22,26,13,585
-72,-74,-3,5325
13,-52,33,-643
89,-49,21,-4340
-8,-45,7,367
-70,-76,-88,5232
9,11,54,153
93,18,88,1762
18,-34,-90,-702
-87,-78,-66,6720
61,15,-33,882
-2,44,57,-31
-100,-49,-43,4857
-99,-17,-30,1653
91,-100,-24,-9124
76,-54,45,-4059
80,15,-67,1133
43,-99,-23,-4280
-87,52,-58,-4582
-36,-46,70,1726
19,-65,-23,-1258
-16,-96,53,1589
78,-45,-38,-3548
-5,84,3,-417
-26,-78,3,2031
-10,42,49,-371
48,-23,59,-1045
-26,65,3,-1687
32,70,94,2334
6,-7,60,18
-73,-10,35,765
-65,55,-61,-3636
91,94,89,8643
6,-59,30,-324
-7,-42,-79,215
-42,-76,24,3216
-8,-49,-81,311
26,-44,-48,-1192
-41,-10,36,446
41,77,-23,3134
19,-54,-72,-1098
40,33,-39,1281
-18,60,-38,-1118
92,40,-54,3626
-38,0,84,84
-39,-31,-42,1167
-59,-14,76,902
98,-100,-90,-9890
-14,-65,-97,813
11,-26,94,-192
-11,60,-78,-738
-88,19,-95,-1767
-45,95,-72,-4347
-84,-41,-83,3361
-63,-44,-84,2688
-71,-78,77,5615
-85,-62,19,5289
-34,100,-9,-3409
-15,-95,-4,1421
58,-76,43,-4365
60,-99,62,-5878
83,-63,-10,-5239
-15,-18,54,324
-74,-79,3,5849
60,-45,86,-2614
67,-43,3,-2878
18,96,-40,1688
59,-26,-84,-1618
-76,-98,-19,7429
-22,68,51,-1445
-57,41,-2,-2339
-7,100,27,-673
72,81,-43,5789
15,86,27,1317
-97,65,-90,-6395
29,55,6,1601
68,72,45,4941
6,97,40,622
0,-79,-39,-39
35,29,43,1058
-63,-99,-33,6204
-65,8,18,-502
-31,-91,-85,2736
-89,41,82,-3567
-77,-39,-67,2936
95,-49,-56,-4711
-24,-80,-45,1875
-16,-23,-42,326
27,77,69,2148
-97,32,75,-3029
83,36,28,3016
-33,-56,-37,1811
37,37,98,1467
76,31,63,2419
-15,-1,8,23
39,64,87,2583
-22,-25,81,631
41,-75,99,-2976
-51,81,82,-4049
78,-48,13,-3731
32,-56,91,-1701
-26,47,-54,-1276
-77,65,-26,-5031
29,-99,-32,-2903
-24,97,-49,-2377
6,30,-84,96
-8,-84,-79,593
83,-9,24,-723
-89,77,17,-6836
-6,-55,100,430
-21,69,20,-1429
35,-16,-9,-569
97,61,54,5971
3,-100,37,-263
-4,49,63,-133
83,-54,84,-4398
71,53,90,3853
0,46,90,90
86,24,46,2110
75,31,7,2332
-85,-70,-19,5931
44,61,-81,2603
-36,-82,52,3004
47,56,67,2699
41,17,-1,696
50,-61,-18,-3068
-13,21,21,-252
69,91,-88,6191
29,30,-8,862
99,-51,-81,-5130
46,-73,-22,-3380
-30,12,7,-353
87,-30,-63,-2673
-93,-30,100,2890
33,-74,79,-2363
-58,-21,75,1293
-62,-77,73,4847
-19,-70,49,1379
44,-92,5,-4043
-81,53,-84,-4377
-89,-80,50,7170
-53,-45,-88,2297
-87,74,42,-6396
15,61,35,950
-91,73,-16,-6659
-60,62,-96,-3816
42,46,-33,1899
-92,38,84,-3412
49,-68,18,-3314
-43,65,-28,-2823
-84,-99,-74,8242
-9,22,-61,-259
59,-30,83,-1687
-83,89,39,-7348
28,95,-11,2649
-36,-6,23,239
25,-81,-84,-2109
-29,-49,62,1483
64,44,82,2898
-11,-49,-83,456
44,-74,-53,-3309
-82,-59,89,4927
-63,-30,-44,1846
-64,-68,-74,4278
34,98,-9,3323
-82,75,-34,-6184
-60,-47,38,2858
56,20,-80,1040
-83,14,-50,-1212
-80,-44,91,3611
64,7,100,548
56,-99,-99,-5643
-19,97,-50,-1893
-34,-8,-51,221
18,-56,-52,-1060
-29,21,82,-527
11,-37,49,-358
63,-80,-26,-5066
5,89,48,493
8,2,36,52
-59,-66,-35,3859
94,19,85,1871
-14,-100,88,1488
-19,100,-3,-1903
-53,-37,-59,1902
74,31,75,2369
-23,-75,-50,1675
57,85,27,4872
-21,-48,-49,959
-43,37,-56,-1647
-33,17,82,-479
29,-46,-9,-1343
-60,66,-98,-4058
-37,88,-46,-3302
40,63,40,2560
-13,41,78,-455
89,-29,86,-2495
-31,0,-24,-24
-95,-83,68,7953
35,94,4,3294
92,-68,31,-6225
82,-21,35,-1687
26,86,-17,2219
98,-93,-3,-9117
-14,-12,-95,73
87,37,-55,3164
93,61,92,5765
19,-18,-20,-362
-70,-53,-3,3707
35,73,-12,2543
-80,29,-51,-2371
87,-18,61,-1505
71,1,-49,22
20,-55,-13,-1113
2,-70,-16,-156
30,88,-96,2544
-25,45,73,-1052
-95,20,75,-1825
-14,-2,87,115
35,29,0,1015
1,54,-31,23
34,-92,-63,-3191
75,25,23,1898
81,35,-4,2831
-81,-10,-3,807
-32,-48,70,1606
2,-9,-34,-52
-9,84,-35,-791
-22,-88,-55,1881
41,51,54,2145
-46,33,-5,-1523
44,42,29,1877
58,-42,44,-2392
-94,84,71,-7825
65,3,-39,156
91,15,2,1367
93,32,98,3074
-54,73,92,-3850
17,-95,33,-1582
29,-60,-38,-1778
-60,73,77,-4303
20,52,65,1105
99,-99,-11,-9812
75,58,25,4375
-14,6,42,-42
95,-100,-64,-9564
59,-83,-12,-4909
-25,-78,-30,1920
-42,49,-34,-2092
-24,-5,52,172
78,-91,-55,-7153
35,90,-96,3054
27,50,38,1388
-30,-99,-74,2896
-34,4,21,-115
86,-74,68,-6296
-12,8,37,-59
-38,66,-11,-2519
-13,-58,-97,657
51,83,8,4241
72,-44,84,-3084
-70,88,-14,-6174
85,82,-40,6930
26,63,-30,1608
-64,19,93,-1123
-31,-34,-14,1040
-50,39,75,-1875
-48,-49,-44,2308
61,-69,17,-4192
21,-96,-8,-2024
22,99,7,2185
23,7,-4,157
61,-13,17,-776
93,-28,-14,-2618
-56,27,78,-1434
75,-49,-60,-3735
32,-4,-44,-172
-2,-50,37,137
84,89,-97,7379
-87,57,-97,-5056
-77,-74,-2,5696
-81,75,51,-6024
57,-31,75,-1692
-16,19,7,-297
10,27,-60,210
100,-46,16,-4584
-47,95,75,-4390
48,-24,42,-1110
40,-51,5,-2035
-79,-83,32,6589
86,-80,-26,-6906
15,41,-86,529
0,59,83,83
-75,-55,87,4212
60,96,100,5860
-71,-79,53,5662
2,-39,33,-45
-77,20,54,-1486
-29,-52,-48,1460
1,-84,-1,-85
11,-29,97,-222
-89,68,100,-5952
63,17,50,1121
47,84,51,3999
50,-5,49,-201
-9,-79,51,762
64,-31,-34,-2018
-23,-39,63,960
-26,69,85,-1709
75,-54,-59,-4109
66,56,33,3729
70,41,-32,2838
48,2,48,144
75,29,-12,2163
-61,-7,-87,340
71,45,-21,3174
83,-12,48,-948
4,76,-19,285
-17,97,-8,-1657
-35,-85,-33,2942
-22,88,89,-1847
80,55,38,4438
-17,30,20,-490
-88,-90,-20,7900
53,83,91,4490
97,45,65,4430
23,87,-65,1936
44,7,-6,302
-72,-65,87,4767
-90,54,-30,-4890
-21,67,-22,-1429
61,-67,7,-4080
-84,-82,-92,6796
62,61,-71,3711
-94,-20,50,1930
-25,35,92,-783
-1,-72,5,77
81,31,71,2582
87,9,32,815
-4,-54,62,278
-73,78,74,-5620
-56,-2,-44,68
-28,-57,37,1633
-73,-1,0,73
1,-73,29,-44
-47,56,54,-2578
100,19,-70,1830
32,-95,69,-2971
-49,-62,42,3080
-48,60,36,-2844
71,-4,-21,-305
-97,-89,-81,8552
-83,-11,93,1006
74,-46,-90,-3494
51,74,-17,3757
-31,94,67,-2847
49,90,33,4443
75,-21,-64,-1639
79,80,-90,6230
93,41,89,3902
25,16,80,480
-63,-48,-6,3018
-17,-54,55,973
-91,-77,-12,6995
72,-24,95,-1633
3,-39,-30,-147
47,-17,-96,-895
-32,-41,-17,1295
-38,-1,96,134
-41,-25,-70,955
18,-19,-2,-344
-53,100,14,-5286
1,77,83,160
47,-65,-69,-3124
-37,13,-35,-516
35,-91,-70,-3255
-43,-59,-40,2497
90,1,68,158
-10,-37,-21,349
-24,-14,-30,306
